angle	lam_L	pink_fxi	pink_feta	refl_fxi	refl_feta	blend_fxi	blend_feta	pink_surge_norm	refl_surge_norm	blend_surge_norm
-60.0	0.2155	-10083.70	1058950.00	546785.00	-947058.00	546785.00	-947058.00	0.0978	-5.3053	-5.3053
-60.0	0.2395	30007.00	1063550.00	534684.00	-926099.00	534684.00	-926099.00	-0.2911	-5.1878	-5.1878
-60.0	0.2661	24246.10	1069190.00	520760.00	-901981.00	520760.00	-901981.00	-0.2353	-5.0527	-5.0527
-60.0	0.2957	-13058.50	1082460.00	505072.00	-874808.00	505072.00	-874808.00	0.1267	-4.9005	-4.9005
-60.0	0.3285	-33754.00	1093160.00	487741.00	-844790.00	487741.00	-844790.00	0.3275	-4.7324	-4.7324
-60.0	0.3651	1689.67	1063660.00	468947.00	-812238.00	468947.00	-812238.00	-0.0164	-4.5500	-4.5500
-60.0	0.4056	77541.90	964697.00	448912.00	-777538.00	448912.00	-777538.00	-0.7524	-4.3556	-4.3556
-60.0	0.4507	165644.00	791671.00	427889.00	-741125.00	427889.00	-741125.00	-1.6072	-4.1517	-4.1517
-60.0	0.5008	240366.00	595435.00	406149.00	-703469.00	406149.00	-703469.00	-2.3322	-3.9407	-3.9407
-60.0	0.5565	274668.00	458413.00	383960.00	-665037.00	383960.00	-665037.00	-2.6650	-3.7254	-3.7254
-60.0	0.6183	245774.00	408094.00	361587.00	-626285.00	361587.00	-626285.00	-2.3847	-3.5083	-3.5083
-60.0	0.6871	169134.00	367844.00	339273.00	-587637.00	339273.00	-587637.00	-1.6410	-3.2918	-3.2918
-60.0	0.7634	85275.70	297052.00	317240.00	-549475.00	317240.00	-549475.00	-0.8274	-3.0781	-3.0781
-60.0	0.8483	12353.50	215387.00	295679.00	-512130.00	295679.00	-512130.00	-0.1199	-2.8689	-2.8689
-60.0	0.9426	-51596.00	147363.00	274754.00	-475886.00	274754.00	-475886.00	0.5006	-2.6658	-2.6658
-60.0	1.0473	-124800.00	22671.50	254593.00	-440967.00	254593.00	-440967.00	1.2109	-2.4702	-2.4702
-60.0	1.1638	22506.60	-438242.00	235299.00	-407549.00	235299.00	-407549.00	-0.2184	-2.2830	-2.2830
-60.0	1.2931	79428.90	-135531.00	216947.00	-375762.00	216947.00	-375762.00	-0.7707	-2.1050	-2.1050
-60.0	1.4369	43928.40	-27700.60	199585.00	-345691.00	199585.00	-345691.00	-0.4262	-1.9365	-1.9365
-60.0	1.5966	27909.80	-10401.30	183241.00	-317382.00	183241.00	-317382.00	-0.2708	-1.7779	-1.7779
-60.0	1.7740	18064.00	-5544.15	167924.00	-290852.00	167924.00	-290852.00	-0.1753	-1.6293	-1.6293
-60.0	1.9712	11975.80	-3519.61	153626.00	-266087.00	153626.00	-266087.00	-0.1162	-1.4906	-1.4906
-60.0	2.1903	8635.90	-2217.05	140328.00	-243054.00	140328.00	-243054.00	-0.0838	-1.3616	-1.3616
-60.0	2.4338	5330.65	-2105.24	128000.00	-221703.00	128000.00	-221703.00	-0.0517	-1.2419	-1.2419
